model,parameter_name,parameter_value,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
KNN,n_neighbors,3,0.5855794941143928,0.3270022742639376,0.6225356428792327,0.33064310129618274,0.5855794941143928,0.3270022742639376,0.5702368968408307,0.3104943225170176
KNN,n_neighbors,5,0.5374035713188062,0.35214211076280044,0.5450825086908033,0.34368587517004,0.5374035713188062,0.35214211076280044,0.5263857772573213,0.3382658237944954
KNN,n_neighbors,7,0.5105725789101638,0.3673858258036757,0.5084899159971074,0.3523776376144776,0.5105725789101638,0.3673858258036757,0.49671535695209584,0.3511543802499534
KNN,n_neighbors,9,0.4891969142822018,0.3741471510234188,0.4847590964577094,0.3588350142830664,0.4891969142822018,0.3741471510234188,0.4732785135341789,0.3567107197309768
KNN,metric,euclidean,0.5374035713188062,0.35214211076280044,0.5450825086908033,0.34368587517004,0.5374035713188062,0.35214211076280044,0.5263857772573213,0.3382658237944954
KNN,metric,manhattan,0.5549220886990196,0.3715040875284283,0.56454687534903,0.3626380839691019,0.5549220886990196,0.3715040875284283,0.5445381425052828,0.35700331295966303
KNN,metric,chebyshev,0.5121861265636045,0.31938041674349993,0.5208661875609021,0.30947799184466357,0.5121861265636045,0.31938041674349993,0.5007636545355181,0.30544502380783617
KNN,metric,minkowski,0.5374035713188062,0.35214211076280044,0.5450825086908033,0.34368587517004,0.5374035713188062,0.35214211076280044,0.5263857772573213,0.3382658237944954
KNN,p,1,0.5549220886990196,0.3715040875284283,0.56454687534903,0.3626380839691019,0.5549220886990196,0.3715040875284283,0.5445381425052828,0.35700331295966303
KNN,p,2,0.5374035713188062,0.35214211076280044,0.5450825086908033,0.34368587517004,0.5374035713188062,0.35214211076280044,0.5263857772573213,0.3382658237944954
KNN,p,3,0.5293050988105849,0.34169278996865204,0.5358749685107147,0.3321722326182582,0.5293050988105849,0.34169278996865204,0.5179183518491725,0.3280130381763964
KNN,p,4,0.5244183544887359,0.33579199704960355,0.5315190968311,0.32673685545593134,0.5244183544887359,0.33579199704960355,0.5131150477087884,0.3222798147376692
DecisionTree,max_depth,3,0.22629621661493068,0.22767226012662117,0.1362073233537312,0.12912161031904515,0.22629621661493068,0.22767226012662117,0.13443257895899363,0.13353626129261306
DecisionTree,max_depth,5,0.2826013461597566,0.2850205913086238,0.2901179680938796,0.3041599818504895,0.2826013461597566,0.2850205913086238,0.21948517446964802,0.21970931601209176
DecisionTree,max_depth,10,0.4111319420966899,0.37334808531563096,0.42384376780877137,0.36882201452978947,0.4111319420966899,0.37334808531563096,0.3884921893935788,0.34857987312558203
DecisionTree,max_depth,15,0.6153302394197375,0.38404327248140635,0.6227595100566081,0.37787782573265816,0.6153302394197375,0.38404327248140635,0.610267316031757,0.3766759778749872
DecisionTree,min_samples_split,2,0.4111319420966899,0.37334808531563096,0.42384376780877137,0.36882201452978947,0.4111319420966899,0.37334808531563096,0.3884921893935788,0.34857987312558203
DecisionTree,min_samples_split,5,0.4105018901558226,0.37377835146597826,0.4230314688909803,0.3697311785498658,0.4105018901558226,0.37377835146597826,0.3878329184949595,0.349079880251525
DecisionTree,min_samples_split,10,0.40933398899714174,0.37377835146597826,0.4168011154648484,0.36922066752865784,0.40933398899714174,0.37377835146597826,0.38652175759378354,0.34916961991999884
DecisionTree,min_samples_split,20,0.4070750222823247,0.3739627512446985,0.41705701867649697,0.36933036534123476,0.4070750222823247,0.3739627512446985,0.38429144723315883,0.34933488138592306
DecisionTree,min_samples_leaf,1,0.4111319420966899,0.37334808531563096,0.42384376780877137,0.36882201452978947,0.4111319420966899,0.37334808531563096,0.3884921893935788,0.34857987312558203
DecisionTree,min_samples_leaf,2,0.4101177121430986,0.3731636855369107,0.42187688735150713,0.36776655988727547,0.4101177121430986,0.3731636855369107,0.3872957290947764,0.3484518001601297
DecisionTree,min_samples_leaf,4,0.40856563297169374,0.37279488597947014,0.41519898777029246,0.3639865260275127,0.40856563297169374,0.37279488597947014,0.38560555807757657,0.34783112716835535
DecisionTree,min_samples_leaf,8,0.4062605648953499,0.37279488597947014,0.410199027616178,0.3639272635361401,0.4062605648953499,0.37279488597947014,0.3830877129471284,0.34764851265295516
RandomForest,n_estimators,50,0.9999538986384732,0.47329276538201487,0.9999539124909806,0.4710687607012661,0.9999538986384732,0.47329276538201487,0.9999538979895864,0.45776240093079934
RandomForest,n_estimators,100,1.0,0.4834962198045362,1.0,0.4861573339584345,1.0,0.4834962198045362,1.0,0.46840621222856627
RandomForest,n_estimators,200,1.0,0.4904419448029996,1.0,0.49882365875160734,1.0,0.4904419448029996,1.0,0.47504502250973496
RandomForest,n_estimators,300,1.0,0.49068781117462656,1.0,0.4996058239832097,1.0,0.49068781117462656,1.0,0.4751174442310393
RandomForest,max_depth,5,0.29042321049881675,0.2868645890958264,0.3609198314608129,0.34740333129617323,0.29042321049881675,0.2868645890958264,0.21944841467042966,0.2143453268620063
RandomForest,max_depth,10,0.46390263392445524,0.41115003995328536,0.5800500262548488,0.4472301724974418,0.46390263392445524,0.41115003995328536,0.430164807307326,0.3715671588795097
RandomForest,max_depth,15,0.7732120355287826,0.465732374454484,0.8093889737956097,0.4821076709937714,0.7732120355287826,0.465732374454484,0.7705275682554377,0.4433394402208034
RandomForest,max_depth,None,1.0,0.4834962198045362,1.0,0.4861573339584345,1.0,0.4834962198045362,1.0,0.46840621222856627
RandomForest,min_samples_leaf,1,1.0,0.4834962198045362,1.0,0.4861573339584345,1.0,0.4834962198045362,1.0,0.46840621222856627
RandomForest,min_samples_leaf,2,0.9938992531579433,0.4826971540967484,0.9939592916145643,0.4848777344389589,0.9938992531579433,0.4826971540967484,0.9939023447844928,0.46714576855080375
RandomForest,min_samples_leaf,4,0.9017733657067338,0.47648902821316613,0.9072025314362119,0.48092976576934093,0.9017733657067338,0.47648902821316613,0.9006470468938947,0.4584775391496827
RandomForest,min_samples_leaf,8,0.7194885822294619,0.46868277091400823,0.7463374601069885,0.47504276325188893,0.7194885822294619,0.46868277091400823,0.7079994892555025,0.44652747701669493
